Date Generated:  2023.06.27 03:29:53 PM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
102.157.44.105,NXDOMAIN
105.158.118.241,NXDOMAIN
105.69.155.85,NXDOMAIN
113.169.187.159,NXDOMAIN
134.35.9.209,NXDOMAIN
139.195.43.166,NXDOMAIN
139.60.161.213,NXDOMAIN
148.213.109.165,NXDOMAIN
163.182.177.80,NXDOMAIN
181.141.3.126,NXDOMAIN
181.164.194.228,NXDOMAIN
185.143.223.69,NXDOMAIN
186.64.67.6,NXDOMAIN
186.86.212.138,NXDOMAIN
190.193.180.228,NXDOMAIN
196.70.77.11,NXDOMAIN
197.11.134.255,NXDOMAIN
197.158.89.85,NXDOMAIN
197.204.247.7,NXDOMAIN
197.207.181.147,NXDOMAIN
197.207.218.27,NXDOMAIN
197.94.67.207,NXDOMAIN
23.111.114.52,NXDOMAIN
41.100.55.97,NXDOMAIN
41.107.77.67,NXDOMAIN
41.109.11.80,NXDOMAIN
41.251.121.35,NXDOMAIN
41.97.65.51,NXDOMAIN
42.189.12.36,NXDOMAIN
45.227.251.167,NXDOMAIN
5.44.42.20,NXDOMAIN
61.166.221.46,NXDOMAIN
68.83.169.91,NXDOMAIN
81.184.181.215,NXDOMAIN
82.12.196.197,NXDOMAIN
98.143.70.147,NXDOMAIN
140.82.48.158,NXDOMAIN
147.135.36.162,NXDOMAIN
147.135.11.223,NXDOMAIN
152.89.247.50,NXDOMAIN
179.43.167.10,NXDOMAIN
185.7.214.218,NXDOMAIN
193.149.176.157,NXDOMAIN
193.235.146.104,NXDOMAIN
209.141.36.116,NXDOMAIN
45.61.136.47,NXDOMAIN
45.8.158.104,NXDOMAIN
5.181.234.58,NXDOMAIN
5.188.86.195,NXDOMAIN
77.73.133.84,NXDOMAIN
89.108.65.136,NXDOMAIN
94.232.41.105,NXDOMAIN
47.87.229.39,NXDOMAIN
ciborkumari.xyz,Blocked
sombrat.com,Blocked
gororama.com,Blocked
softeruplive.com,Blocked
altocloudzone.live,Blocked
myappearinc.com,Blocked
parkerpublic.com,Blocked
pastebin.mozilla.org,Not Blocked
tumbleproperty.com,Blocked
