Date Generated:  2023.06.06 11:32:30 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
102.157.44.105,PTR
105.158.118.241,PTR
105.69.155.85,PTR
113.169.187.159,PTR
134.35.9.209,PTR
139.195.43.166,PTR
139.60.161.213,PTR
148.213.109.165,PTR
163.182.177.80,PTR
181.141.3.126,PTR
181.164.194.228,PTR
185.143.223.69,PTR
186.64.67.6,PTR
186.86.212.138,PTR
190.193.180.228,PTR
196.70.77.11,PTR
197.11.134.255,PTR
197.158.89.85,PTR
197.204.247.7,PTR
197.207.181.147,PTR
197.207.218.27,PTR
197.94.67.207,PTR
23.111.114.52,PTR
41.100.55.97,PTR
41.107.77.67,PTR
41.109.11.80,PTR
41.251.121.35,PTR
41.97.65.51,PTR
42.189.12.36,PTR
45.227.251.167,PTR
5.44.42.20,PTR
61.166.221.46,PTR
68.83.169.91,PTR
81.184.181.215,PTR
82.12.196.197,PTR
98.143.70.147,PTR
140.82.48.158,PTR
147.135.36.162,PTR
147.135.11.223,PTR
152.89.247.50,PTR
179.43.167.10,PTR
185.7.214.218,PTR
193.149.176.157,PTR
193.235.146.104,PTR
209.141.36.116,PTR
45.61.136.47,PTR
45.8.158.104,PTR
5.181.234.58,PTR
5.188.86.195,PTR
77.73.133.84,PTR
89.108.65.136,PTR
94.232.41.105,PTR
47.87.229.39,PTR
ciborkumari.xyz,Blocked
sombrat.com,Blocked
gororama.com,Blocked
softeruplive.com,Blocked
altocloudzone.live,Blocked
myappearinc.com,Blocked
parkerpublic.com,Blocked
pastebin.mozilla.org,Not Blocked
tumbleproperty.com,Blocked
