Date Generated:  2023.06.08 02:01:50 PM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
unlock@rsv-box.com,Not Blocked
unlock@support-multi.com,NXDOMAIN
rey14000707@gmail.com,Not Blocked
gagnondani225@gmail.com,Not Blocked
hiperfdhaus.com,Blocked
jirostrogud.com,Blocked
qweastradoc.com,Blocked
connectzoomdownload.com,Not Blocked
zoom.voyage,Not Blocked
guerdofest.com,Blocked
104.194.222.107,PTR
100.21.161.34,PTR
138.197.152.201,PTR
104.200.72.149,PTR
146.0.77.141,PTR
107.181.161.207,PTR
146.0.77.155,PTR
141.101.68.154,PTR
146.0.77.183,PTR
141.101.68.166,PTR
148.113.152.144,PTR
142.44.212.178,PTR
162.244.34.26,PTR
143.31.133.99,PTR
162.244.35.6,PTR
148.113.159.146,PTR
179.60.150.143,PTR
148.113.159.213,PTR
185.104.194.156,PTR
15.235.13.184,PTR
185.104.194.24,PTR
15.235.83.73,PTR
185.104.194.40,PTR
162.158.129.79,PTR
185.117.88.17,PTR
166.70.47.90,PTR
185.162.128.75,PTR
172.71.134.76,PTR
185.174.100.215,PTR
173.254.236.131,PTR
185.174.100.250,PTR
185.104.194.134,PTR
185.181.229.240,PTR
185.117.88.2,PTR
185.181.229.73,PTR
185.174.100.17,PTR
185.183.32.122,PTR
185.33.86.225,PTR
185.185.50.172,PTR
185.33.87.126,PTR
188.241.58.244,PTR
185.80.52.230,PTR
193.169.245.79,PTR
185.81.113.156,PTR
194.33.40.103,PTR
192.42.116.191,PTR
194.33.40.104,PTR
195.38.8.241,PTR
194.33.40.64,PTR
198.137.247.10,PTR
198.12.76.214,PTR
198.199.74.207,PTR
198.27.75.110,PTR
206.221.182.106,PTR
198.245.13.4,PTR
209.127.116.122,PTR
20.47.120.195,PTR
209.127.4.22,PTR
208.115.199.25,PTR
209.222.103.170,PTR
209.222.98.25,PTR
209.97.137.33,PTR
213.121.182.84,PTR
45.227.253.133,PTR
216.144.248.20,PTR
45.227.253.147,PTR
23.237.114.154,PTR
45.227.253.50,PTR
23.237.56.234,PTR
45.227.253.6,PTR
3.101.53.11,PTR
45.227.253.82,PTR
44.206.3.111,PTR
45.56.165.248,PTR
45.182.189.200,PTR
5.149.248.68,PTR
45.182.189.228,PTR
5.149.250.74,PTR
45.182.189.229,PTR
5.149.250.92,PTR
5.149.250.90,PTR
5.188.86.114,PTR
5.149.252.51,PTR
5.188.86.250,PTR
5.188.206.76,PTR
5.188.87.194,PTR
5.188.87.226,PTR
5.34.178.27,PTR
5.188.87.27,PTR
5.34.178.28,PTR
5.252.23.116,PTR
5.34.178.30,PTR
5.252.25.88,PTR
5.34.178.31,PTR
5.34.180.205,PTR
5.34.180.48,PTR
62.112.11.57,PTR
50.7.118.90,PTR
62.182.82.19,PTR
54.184.187.134,PTR
62.182.85.234,PTR
54.39.133.41,PTR
66.85.26.215,PTR
63.143.42.242,PTR
66.85.26.234,PTR
68.156.159.10,PTR
66.85.26.248,PTR
74.218.67.242,PTR
79.141.160.78,PTR
76.117.196.3,PTR
79.141.160.83,PTR
84.234.96.104,PTR
79.141.161.82,PTR
84.234.96.31,PTR
79.141.173.94,PTR
89.39.104.118,PTR
81.56.49.148,PTR
89.39.105.108,PTR
82.117.252.141,PTR
91.202.4.76,PTR
82.117.252.142,PTR
91.222.174.95,PTR
82.117.252.97,PTR
91.229.76.187,PTR
88.214.27.100,PTR
93.190.142.131,PTR
88.214.27.101,PTR
91.222.174.68,PTR
91.223.227.140,PTR
92.118.36.210,PTR
92.118.36.213,PTR
92.118.36.249,PTR
96.10.22.178,PTR
96.44.181.131,PTR
