Date Generated:  2023.06.27 03:29:33 PM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
cuba-supp.com,NXDOMAIN
encryption-support.com,NXDOMAIN
mail.supports24.net,NXDOMAIN
cuba_support@exploit.im,Not Blocked
193.23.244.244,NXDOMAIN
144.172.83.13,NXDOMAIN
216.45.55.30,NXDOMAIN
94.103.9.79,NXDOMAIN
149.255.35.131,NXDOMAIN
217.79.43.148,NXDOMAIN
192.137.101.46,NXDOMAIN
154.35.175.225,NXDOMAIN
222.252.53.33,NXDOMAIN
92.222.172.39,NXDOMAIN
159.203.70.39,NXDOMAIN
23.227.198.246,NXDOMAIN
92.222.172.172,NXDOMAIN
171.25.193.9,NXDOMAIN
31.184.192.44,NXDOMAIN
10.13.102.1,NXDOMAIN
185.153.199.169,NXDOMAIN
37.120.247.39,NXDOMAIN
10.13.102.58,NXDOMAIN
192.137.100.96,NXDOMAIN
37.44.253.21,NXDOMAIN
10.133.78.41,NXDOMAIN
192.137.100.98,NXDOMAIN
38.108.119.121,NXDOMAIN
10.14.100.20,NXDOMAIN
192.137.101.205,NXDOMAIN
45.164.21.13,NXDOMAIN
103.114.163.197,NXDOMAIN
193.34.167.17,NXDOMAIN
45.32.229.66,NXDOMAIN
103.27.203.197,NXDOMAIN
194.109.206.212,NXDOMAIN
45.86.162.34,NXDOMAIN
104.217.8.100,NXDOMAIN
195.54.160.149,NXDOMAIN
45.91.83.176,NXDOMAIN
107.189.10.143,NXDOMAIN
199.58.81.140,NXDOMAIN
64.52.169.174,NXDOMAIN
108.170.31.115,NXDOMAIN
204.13.164.118,NXDOMAIN
64.235.39.82,NXDOMAIN
128.31.0.34,NXDOMAIN
209.76.253.84,NXDOMAIN
79.141.169.220,NXDOMAIN
128.31.0.39,NXDOMAIN
212.192.241.230,NXDOMAIN
84.17.52.135,NXDOMAIN
131.188.40.189,NXDOMAIN
213.32.39.43,NXDOMAIN
86.59.21.38,NXDOMAIN
141.98.87.124,NXDOMAIN
216.45.55.3,NXDOMAIN
www.torproject.org,Blocked
tox.chat,Not Blocked
