Date Generated:  2023.06.06 11:32:21 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
anonfiles.com,Blocked
mega.nz,Not Blocked
send.exploit.in,Blocked
ufile.io,Blocked
www.sendspace.com,Not Blocked
privatlab.net,Not Blocked
privatlab.com,Not Blocked
84.32.188.57,PTR
84.32.188.238,PTR
93.115.26.251,PTR
185.8.105.67,PTR
181.231.81.239,PTR
185.8.105.112,PTR
186.111.136.37,PTR
192.53.123.202,PTR
158.69.36.149,PTR
46.166.161.123,PTR
108.62.118.190,PTR
46.166.161.93,PTR
185.247.71.106,PTR
46.166.162.125,PTR
5.61.37.207,PTR
46.166.162.96,PTR
185.8.105.103,PTR
46.166.169.34,PTR
5.199.162.220,PTR
93.115.25.139,PTR
5.199.162.229,PTR
93.115.27.148,PTR
89.147.109.208,PTR
83.97.20.81,PTR
