Date Generated:  2023.07.11 10:09:08 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
anonfiles.com,Blocked
mega.nz,Not Blocked
send.exploit.in,Blocked
ufile.io,Blocked
www.sendspace.com,Not Blocked
privatlab.net,Not Blocked
privatlab.com,Not Blocked
84.32.188.57,NXDOMAIN
84.32.188.238,NXDOMAIN
93.115.26.251,NXDOMAIN
185.8.105.67,NXDOMAIN
181.231.81.239,NXDOMAIN
185.8.105.112,NXDOMAIN
186.111.136.37,NXDOMAIN
192.53.123.202,NXDOMAIN
158.69.36.149,NXDOMAIN
46.166.161.123,NXDOMAIN
108.62.118.190,NXDOMAIN
46.166.161.93,NXDOMAIN
185.247.71.106,NXDOMAIN
46.166.162.125,NXDOMAIN
5.61.37.207,NXDOMAIN
46.166.162.96,NXDOMAIN
185.8.105.103,NXDOMAIN
46.166.169.34,NXDOMAIN
5.199.162.220,NXDOMAIN
93.115.25.139,NXDOMAIN
5.199.162.229,NXDOMAIN
93.115.27.148,NXDOMAIN
89.147.109.208,NXDOMAIN
83.97.20.81,NXDOMAIN
