Date Generated:  2023.07.11 10:40:45 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
92.118.36.199,NXDOMAIN
193.3.19.173,NXDOMAIN
snowboardspecs.com,NXDOMAIN
www.meditimespharma.com,Not Blocked
corporacionhardsoft.com,Not Blocked
essadonio.com,Blocked
45.182.189.71,NXDOMAIN
imsagentes.pe,Not Blocked
hrcbishtek.com,NXDOMAIN
ecorfan.org,Not Blocked
81.19.135.30,NXDOMAIN
5.188.86.18,NXDOMAIN
5.188.206.78,NXDOMAIN
139.60.160.166,NXDOMAIN
nitutdra.com,Blocked
46.161.40.128,NXDOMAIN
romidonionhhgtt.com,Blocked
midnigthwaall.com,Blocked
dragonetzone.com,Not Blocked
rprotecruuio.com,Blocked
nomoresense.com,Blocked
45.182.189.91,NXDOMAIN
ronoliffuion.com,Blocked
45.182.189.120,NXDOMAIN
bluespiredice.com,Blocked
45.182.189.119,NXDOMAIN
dremmfyttrred.com,Blocked
45.182.189.103,NXDOMAIN
ms-online-store.com,Not Blocked
45.227.253.102,NXDOMAIN
ber6vjyb.com,Blocked
92.118.36.252,NXDOMAIN
jirostrogud.com,Blocked
88.214.27.101,NXDOMAIN
fuanshizmo.com,Not Blocked
45.182.189.229,NXDOMAIN
qweastradoc.com,Blocked
92.118.36.213,NXDOMAIN
nefosferta.com,Blocked
hiperfdhaus.com,Blocked
88.214.27.100,NXDOMAIN
guerdofest.com,Blocked
45.182.189.228,NXDOMAIN
179.60.150.139,NXDOMAIN
94.142.138.61,NXDOMAIN
172.64.155.188,NXDOMAIN
104.18.32.68,NXDOMAIN
droogggdhfhf.com,Blocked
