Date Generated:  2023.06.01 06:40:22 AM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
137.184.130.162,NXDOMAIN
45.77.212.12,NXDOMAIN
104.225.129.102,NXDOMAIN
149.28.85.24,NXDOMAIN
185.186.245.72,NXDOMAIN
193.8.172.113,NXDOMAIN
193.8.172.13,NXDOMAIN
216.120.201.12,NXDOMAIN
5.34.178.246,NXDOMAIN
79.133.124.242,NXDOMAIN
92.38.169.193,NXDOMAIN
92.38.176.109,NXDOMAIN
92.38.176.130,NXDOMAIN
xework.com,Not Blocked
xegroups.com,Not Blocked
hivnd.com,Not Blocked
184.168.104.171,NXDOMAIN
144.96.103.245,NXDOMAIN
